,in_size,out_size,res,downsample,val_f1,val_pres,val_recall,val_th,f1,pres,recall
22,64,12,0,4,0.2126905499652839,0.15676389939124524,0.330653606354014,0.149,0.17675050089634084,0.12014479378533605,0.3342140026420079
23,64,14,1,4,0.20594574220297868,0.14709354097206404,0.3433004140419842,0.167,0.14853087721117236,0.09658690799035105,0.32135290745494877
24,64,16,2,4,0.16088117489986647,0.1111425391535335,0.29119878848415526,0.171,0.11494349319558433,0.07278632342392603,0.2731487251065527
25,64,18,2,4,0.2369238145247826,0.18345663953046415,0.334375151036716,0.159,0.1927625564042823,0.13686954882888167,0.3258144114054984
26,64,20,2,4,0.1628097767906274,0.11806487655171913,0.2621675178424707,0.135,0.13994503293880425,0.09678775085249253,0.2525610029660278
27,128,4,1,2,0.7222222222222222,0.6184151619161319,0.8679093296386396,0.145,0.6927187908937438,0.5780182042476578,0.8642107624436081
28,128,6,0,2,0.6763621574106874,0.5704595500769052,0.830548887564241,0.128,0.6397438800930597,0.5449395836621596,0.7744821913711024
29,128,8,1,2,0.7157732303679579,0.6211338373663878,0.8444362101464452,0.127,0.6936084838062481,0.6040826892496579,0.8142867824829889
30,128,10,1,2,0.7435865166157739,0.6313835770528684,0.9042870261474762,0.137,0.7260726072607261,0.6263104620056396,0.863637496572867
31,128,12,0,2,0.7267135783163929,0.6100930980538022,0.8984549950862721,0.14300000000000002,0.701042897299059,0.5927118673256755,0.8578300640562299
32,128,14,1,2,0.7361942963899115,0.6416589839681038,0.8633983663868795,0.121,0.7205495931870707,0.6248169838945827,0.8509259490042621
33,128,16,1,2,0.7524527834881434,0.6563159662252926,0.8815872146412979,0.123,0.7467218173746386,0.6601508653698882,0.8594252386530744
34,128,18,2,2,0.7340045686877417,0.6282251221246244,0.8826182919559858,0.13,0.7207277116744266,0.6349049617378425,0.8333790284389722
35,128,20,2,2,0.7558444535848904,0.6499559328323592,0.9029498477549902,0.125,0.7501878326754781,0.6518444959358564,0.8834774806211211
36,256,4,2,1,0.7956739790522329,0.6901306756308887,0.9393275442638269,0.132,0.7503679432776496,0.6593912846461748,0.8704668378156077
37,256,6,0,1,0.7627669103017293,0.6625804765637993,0.8986483220827762,0.117,0.7571023039852122,0.6777307199842411,0.8575309688193216
38,256,8,0,1,0.763264946967287,0.6581453985151982,0.9083468930740604,0.109,0.7702484424275055,0.6887749086192666,0.8735824132000698
39,256,10,2,1,0.7503764473752532,0.6283192573993761,0.9312883633258687,0.101,0.7129397784662396,0.620679462784726,0.8374168141372349
40,256,12,1,1,0.7956763621805933,0.6960522661127683,0.9285817853748127,0.127,0.7648036010931889,0.6708784596871239,0.8893098377408339
41,256,14,2,1,0.7753408989120174,0.6773777991813147,0.9064297336920624,0.09,0.7743775118435529,0.7044957820127867,0.8596495600807557
42,256,16,1,1,0.7551603639760578,0.6618553199747708,0.8790900742697878,0.109,0.7245039916101277,0.6348054383497421,0.843722738715386
43,256,18,1,1,0.7862565861348896,0.6887257574105704,0.9159671988529264,0.109,0.774385883854218,0.6930999172935292,0.8772712544552728
44,256,20,2,1,0.7713881798020811,0.660296850267257,0.9274218233957887,0.113,0.7580185796990379,0.6484513431143242,0.9121407741581715
