,CR,f1
6,488.4802421664076,0.09108751095879493
13,325.6534947776051,0.2292425099514487
20,244.2401210832038,0.5894312522625651
26,195.39209686656304,0.5518602098824806
39,139.56578347611645,0.688096648110861
45,122.1200605416019,0.7059680702882246
52,108.55116492586836,0.7104829711492481
59,97.69604843328152,0.7126441659858461
70,81.41337369440127,0.7132794432775337
77,75.15080648713963,0.7131217110847055
83,69.78289173805823,0.7128441827152633
91,65.13069895552101,0.7129595246936501
102,57.468263784283245,0.7129639454194342
106,54.27558246293418,0.712960998175105
114,51.41897285962185,0.7129049028657521
117,48.84802421664076,0.7129322143592247
129,44.407294742400694,0.7129261227997581
133,42.47654279707892,0.7129397784662396
140,40.706686847200636,0.7129397784662396
144,39.078419373312606,0.7129397784662396
152,36.18372164195612,0.7129397784662396
157,34.89144586902911,0.7129397784662396
162,33.68829256320053,0.7129397784662396
165,32.565349477760506,0.7129397784662396
173,30.530015135400475,0.7129397784662396
178,29.604863161600463,0.7129397784662396
181,28.734131892141622,0.7129397784662396
185,27.913156695223293,0.7129397784662396
192,26.404337414400413,0.7129397784662396
194,25.709486429810926,0.7129397784662396
198,25.050268829046544,0.7129397784662396
202,24.42401210832038,0.7129397784662396
