,CR,f1
1,976.9604843328152,0.10658050795468488
4,488.4802421664076,0.29891188486253895
11,325.6534947776051,0.5725027214472489
18,244.2401210832038,0.7366251456223675
24,195.39209686656304,0.750554703109649
31,162.82674738880254,0.7577730051214273
37,139.56578347611645,0.7573366784405638
43,122.1200605416019,0.7573614334583613
50,108.55116492586836,0.7571243095746321
57,97.69604843328152,0.7571766518127305
63,88.81458948480139,0.7571159791829414
68,81.41337369440127,0.7571159791829414
75,75.15080648713963,0.7571243095746321
81,69.78289173805823,0.7571159791829414
89,65.13069895552101,0.7571023039852122
95,61.06003027080095,0.7571023039852122
100,57.468263784283245,0.7571023039852122
104,54.27558246293418,0.7571023039852122
112,51.41897285962185,0.7571023039852122
115,48.84802421664076,0.7571023039852122
122,46.52192782537215,0.7571023039852122
127,44.407294742400694,0.7571023039852122
131,42.47654279707892,0.7571023039852122
138,40.706686847200636,0.7571023039852122
