,CR,f1
15,325.6534947776051,0.07312227069545849
28,195.39209686656304,0.24315709308696684
41,139.56578347611645,0.5789647277948081
55,108.55116492586836,0.5797192511459865
73,81.41337369440127,0.6981915963129398
87,69.78289173805823,0.7638574881110158
99,61.06003027080095,0.7719774160822196
110,54.27558246293418,0.7742751829234747
126,46.52192782537215,0.7740763973719832
136,42.47654279707892,0.7742041929735795
146,39.078419373312606,0.7744114411441144
155,36.18372164195612,0.774299291591499
169,32.565349477760506,0.7743638823801194
177,30.530015135400475,0.7744164044795494
184,28.734131892141622,0.7744029218600456
191,27.13779123146709,0.7744029218600456
201,25.050268829046544,0.7743944027634155
207,23.82830449592232,0.7743944027634155
211,22.720011263553843,0.774385883854218
217,21.710232985173672,0.774385883854218
225,20.353343423600318,0.774385883854218
229,19.539209686656303,0.774385883854218
233,18.787701621784908,0.774385883854218
237,18.09186082097806,0.774385883854218
242,17.13965761987395,0.774385883854218
245,16.558652276827377,0.774385883854218
248,16.015745644800248,0.774385883854218
250,15.50730927512405,0.774385883854218
254,14.802431580800231,0.774385883854218
255,14.367065946070811,0.774385883854218
257,13.956578347611647,0.774385883854218
259,13.568895615733545,0.774385883854218
