,CR,f1
16,325.6534947776051,0.11939120214140082
29,195.39209686656304,0.27166553437707536
48,122.1200605416019,0.6261258157550225
61,97.69604843328152,0.6738254348824159
79,75.15080648713963,0.7174556051560231
93,65.13069895552101,0.7572343391361764
111,54.27558246293418,0.7578940806084599
121,48.84802421664076,0.7583454281567489
137,42.47654279707892,0.7578812145824483
147,39.078419373312606,0.7579065095375184
160,34.89144586902911,0.7580563295662892
170,32.565349477760506,0.7579649500766458
180,29.604863161600463,0.7580421318640345
188,27.913156695223293,0.7580235917936184
197,25.709486429810926,0.7580185796990379
204,24.42401210832038,0.7579928538138885
212,22.720011263553843,0.7580057168896807
218,21.710232985173672,0.7580057168896807
226,20.353343423600318,0.7580185796990379
230,19.539209686656303,0.7580185796990379
235,18.433216685524815,0.7580185796990379
239,17.76291789696028,0.7580185796990379
244,16.844146281600263,0.7580185796990379
247,16.282674738880253,0.7580185796990379
251,15.50730927512405,0.7580185796990379
253,15.030161297427926,0.7580185796990379
256,14.367065946070811,0.7580185796990379
258,13.956578347611647,0.7580185796990379
260,13.383020333326236,0.7580185796990379
261,13.026139791104203,0.7580185796990379
262,12.525134414523272,0.7580185796990379
263,12.21200605416019,0.7580185796990379
