,CR,f1
9,488.4802421664076,0.10180415531286018
22,244.2401210832038,0.2564114868890942
35,162.82674738880254,0.5227852716004374
47,122.1200605416019,0.5499813682597955
60,97.69604843328152,0.6572025738574984
72,81.41337369440127,0.7167233291733012
86,69.78289173805823,0.7227538800279255
98,61.06003027080095,0.72406852248394
109,54.27558246293418,0.7241275958038963
120,48.84802421664076,0.7243873729266989
130,44.407294742400694,0.7245253943453973
142,40.706686847200636,0.7246327187904598
150,37.575403243569816,0.7244748360032961
159,34.89144586902911,0.7245858836622009
168,32.565349477760506,0.7244844450627655
176,30.530015135400475,0.7244497233903674
183,28.734131892141622,0.7245117448766654
190,27.13779123146709,0.7245039916101277
196,25.709486429810926,0.7245039916101277
203,24.42401210832038,0.7244807328061296
210,23.260963912686076,0.7244962385095294
215,22.203647371200347,0.7245117448766654
220,21.23827139853946,0.7245039916101277
224,20.353343423600318,0.7245039916101277
228,19.539209686656303,0.7245039916101277
232,18.787701621784908,0.7245039916101277
236,18.09186082097806,0.7245039916101277
241,17.445722934514556,0.7245039916101277
243,16.844146281600263,0.7245039916101277
246,16.282674738880253,0.7245039916101277
249,15.75742716665831,0.7245039916101277
252,15.265007567700238,0.7245039916101277
