,CR,f1
2,976.9604843328152,0.07174057710686033
5,488.4802421664076,0.2342453821479925
12,325.6534947776051,0.5775586327713641
19,244.2401210832038,0.627332678546373
25,195.39209686656304,0.7379002064849901
32,162.82674738880254,0.7614166926052737
38,139.56578347611645,0.7683297371086354
44,122.1200605416019,0.7697296109034955
51,108.55116492586836,0.7698698786706524
58,97.69604843328152,0.7701150688544768
64,88.81458948480139,0.7702772497005529
69,81.41337369440127,0.7701859258933674
76,75.15080648713963,0.7701825134330326
82,69.78289173805823,0.7702484424275055
90,65.13069895552101,0.7702653700346135
96,61.06003027080095,0.7702484424275055
101,57.468263784283245,0.7702484424275055
105,54.27558246293418,0.7702569061380568
113,51.41897285962185,0.7702569061380568
116,48.84802421664076,0.7702484424275055
123,46.52192782537215,0.7702484424275055
128,44.407294742400694,0.7702484424275055
132,42.47654279707892,0.7702484424275055
139,40.706686847200636,0.7702484424275055
143,39.078419373312606,0.7702484424275055
148,37.575403243569816,0.7702484424275055
151,36.18372164195612,0.7702484424275055
156,34.89144586902911,0.7702484424275055
161,33.68829256320053,0.7702484424275055
164,32.565349477760506,0.7702484424275055
171,31.51485433331662,0.7702484424275055
172,30.530015135400475,0.7702484424275055
