,CR,f1
7,488.4802421664076,0.17760814506119896
14,325.6534947776051,0.2839034298501047
27,195.39209686656304,0.580927114408692
33,162.82674738880254,0.5748638082420048
46,122.1200605416019,0.7410649969524019
53,108.55116492586836,0.7598309761986891
65,88.81458948480139,0.7644356673678788
71,81.41337369440127,0.7651517588155201
84,69.78289173805823,0.7647096649733137
92,65.13069895552101,0.7647292097619532
103,57.468263784283245,0.7648395463997084
107,54.27558246293418,0.7647840531561461
118,48.84802421664076,0.7648086424384022
124,46.52192782537215,0.7648036010931889
134,42.47654279707892,0.7647771239938693
141,40.706686847200636,0.7647954043684223
149,37.575403243569816,0.7647954043684223
153,36.18372164195612,0.7647954043684223
163,33.68829256320053,0.7647954043684223
166,32.565349477760506,0.7648036010931889
174,30.530015135400475,0.7648036010931889
179,29.604863161600463,0.7648036010931889
186,27.913156695223293,0.7648036010931889
189,27.13779123146709,0.7648036010931889
195,25.709486429810926,0.7648036010931889
199,25.050268829046544,0.7648036010931889
205,23.82830449592232,0.7648036010931889
208,23.260963912686076,0.7648036010931889
213,22.203647371200347,0.7648036010931889
216,21.710232985173672,0.7648036010931889
221,20.78639328367692,0.7648036010931889
222,20.353343423600318,0.7648036010931889
