,CR,f1
8,488.4802421664076,0.1290606401944176
21,244.2401210832038,0.31928314119327755
34,162.82674738880254,0.5812092303138625
40,139.56578347611645,0.4840119820555819
54,108.55116492586836,0.7053559322033898
66,88.81458948480139,0.7563906538457181
78,75.15080648713963,0.7730011600536102
85,69.78289173805823,0.7742066034872349
97,61.06003027080095,0.7741399256455471
108,54.27558246293418,0.7741522712731925
119,48.84802421664076,0.7744448685421764
125,46.52192782537215,0.7743637527083309
135,42.47654279707892,0.7743985270508459
145,39.078419373312606,0.7744173514751449
154,36.18372164195612,0.7743825774584644
158,34.89144586902911,0.7743637527083309
167,32.565349477760506,0.7743825774584644
175,30.530015135400475,0.7743775118435529
182,28.734131892141622,0.7743912706698548
187,27.913156695223293,0.7743775118435529
193,26.404337414400413,0.7743775118435529
200,25.050268829046544,0.7743775118435529
206,23.82830449592232,0.7743775118435529
209,23.260963912686076,0.7743775118435529
214,22.203647371200347,0.7743775118435529
219,21.23827139853946,0.7743775118435529
223,20.353343423600318,0.7743775118435529
227,19.93796906801664,0.7743775118435529
231,19.156087928094415,0.7743775118435529
234,18.433216685524815,0.7743775118435529
238,17.76291789696028,0.7743775118435529
240,17.445722934514556,0.7743775118435529
