,CR,f1
0,976.9604843328152,0.1676201290421913
3,488.4802421664076,0.5628561583927483
10,325.6534947776051,0.7458767290700064
17,244.2401210832038,0.7504139695920518
23,195.39209686656304,0.7502713624004557
30,162.82674738880254,0.7503518214143758
36,139.56578347611645,0.7504162772460172
42,122.1200605416019,0.7503679432776496
49,108.55116492586836,0.7503760044690816
56,97.69604843328152,0.7503760044690816
62,88.81458948480139,0.7503679432776496
67,81.41337369440127,0.7503679432776496
74,75.15080648713963,0.7503679432776496
80,69.78289173805823,0.7503679432776496
88,65.13069895552101,0.7503679432776496
94,61.06003027080095,0.7503679432776496
