,tot_bytes,out_size,f1
0,1.0,4.0,0.1676201290421913
1,1.0,6.0,0.10658050795468488
2,1.0,8.0,0.07174057710686033
3,2.0,4.0,0.5628561583927483
4,2.0,6.0,0.29891188486253895
5,2.0,8.0,0.2342453821479925
6,2.0,10.0,0.09108751095879493
7,2.0,12.0,0.17760814506119896
8,2.0,14.0,0.1290606401944176
9,2.0,16.0,0.10180415531286018
10,3.0,4.0,0.7458767290700064
11,3.0,6.0,0.5725027214472489
12,3.0,8.0,0.5775586327713641
13,3.0,10.0,0.2292425099514487
14,3.0,12.0,0.2839034298501047
15,3.0,18.0,0.07312227069545849
16,3.0,20.0,0.11939120214140082
17,4.0,4.0,0.7504139695920518
18,4.0,6.0,0.7366251456223675
19,4.0,8.0,0.627332678546373
20,4.0,10.0,0.5894312522625651
21,4.0,14.0,0.31928314119327755
22,4.0,16.0,0.2564114868890942
23,5.0,4.0,0.7502713624004557
24,5.0,6.0,0.750554703109649
25,5.0,8.0,0.7379002064849901
26,5.0,10.0,0.5518602098824806
27,5.0,12.0,0.580927114408692
28,5.0,18.0,0.24315709308696684
29,5.0,20.0,0.27166553437707536
30,6.0,4.0,0.7503518214143758
31,6.0,6.0,0.7577730051214273
32,6.0,8.0,0.7614166926052737
33,6.0,12.0,0.5748638082420048
34,6.0,14.0,0.5812092303138625
35,6.0,16.0,0.5227852716004374
36,7.0,4.0,0.7504162772460172
37,7.0,6.0,0.7573366784405638
38,7.0,8.0,0.7683297371086354
39,7.0,10.0,0.688096648110861
40,7.0,14.0,0.4840119820555819
41,7.0,18.0,0.5789647277948081
42,8.0,4.0,0.7503679432776496
43,8.0,6.0,0.7573614334583613
44,8.0,8.0,0.7697296109034955
45,8.0,10.0,0.7059680702882246
46,8.0,12.0,0.7410649969524019
47,8.0,16.0,0.5499813682597955
48,8.0,20.0,0.6261258157550225
49,9.0,4.0,0.7503760044690816
50,9.0,6.0,0.7571243095746321
51,9.0,8.0,0.7698698786706524
52,9.0,10.0,0.7104829711492481
53,9.0,12.0,0.7598309761986891
54,9.0,14.0,0.7053559322033898
55,9.0,18.0,0.5797192511459865
56,10.0,4.0,0.7503760044690816
57,10.0,6.0,0.7571766518127305
58,10.0,8.0,0.7701150688544768
59,10.0,10.0,0.7126441659858461
60,10.0,16.0,0.6572025738574984
61,10.0,20.0,0.6738254348824159
62,11.0,4.0,0.7503679432776496
63,11.0,6.0,0.7571159791829414
64,11.0,8.0,0.7702772497005529
65,11.0,12.0,0.7644356673678788
66,11.0,14.0,0.7563906538457181
67,12.0,4.0,0.7503679432776496
68,12.0,6.0,0.7571159791829414
69,12.0,8.0,0.7701859258933674
70,12.0,10.0,0.7132794432775337
71,12.0,12.0,0.7651517588155201
72,12.0,16.0,0.7167233291733012
73,12.0,18.0,0.6981915963129398
74,13.0,4.0,0.7503679432776496
75,13.0,6.0,0.7571243095746321
76,13.0,8.0,0.7701825134330326
77,13.0,10.0,0.7131217110847055
78,13.0,14.0,0.7730011600536102
79,13.0,20.0,0.7174556051560231
80,14.0,4.0,0.7503679432776496
81,14.0,6.0,0.7571159791829414
82,14.0,8.0,0.7702484424275055
83,14.0,10.0,0.7128441827152633
84,14.0,12.0,0.7647096649733137
85,14.0,14.0,0.7742066034872349
86,14.0,16.0,0.7227538800279255
87,14.0,18.0,0.7638574881110158
88,15.0,4.0,0.7503679432776496
89,15.0,6.0,0.7571023039852122
90,15.0,8.0,0.7702653700346135
91,15.0,10.0,0.7129595246936501
92,15.0,12.0,0.7647292097619532
93,15.0,20.0,0.7572343391361764
94,16.0,4.0,0.7503679432776496
95,16.0,6.0,0.7571023039852122
96,16.0,8.0,0.7702484424275055
97,16.0,14.0,0.7741399256455471
98,16.0,16.0,0.72406852248394
99,16.0,18.0,0.7719774160822196
100,17.0,6.0,0.7571023039852122
101,17.0,8.0,0.7702484424275055
102,17.0,10.0,0.7129639454194342
103,17.0,12.0,0.7648395463997084
104,18.0,6.0,0.7571023039852122
105,18.0,8.0,0.7702569061380568
106,18.0,10.0,0.712960998175105
107,18.0,12.0,0.7647840531561461
108,18.0,14.0,0.7741522712731925
109,18.0,16.0,0.7241275958038963
110,18.0,18.0,0.7742751829234747
111,18.0,20.0,0.7578940806084599
112,19.0,6.0,0.7571023039852122
113,19.0,8.0,0.7702569061380568
114,19.0,10.0,0.7129049028657521
115,20.0,6.0,0.7571023039852122
116,20.0,8.0,0.7702484424275055
117,20.0,10.0,0.7129322143592247
118,20.0,12.0,0.7648086424384022
119,20.0,14.0,0.7744448685421764
120,20.0,16.0,0.7243873729266989
121,20.0,20.0,0.7583454281567489
122,21.0,6.0,0.7571023039852122
123,21.0,8.0,0.7702484424275055
124,21.0,12.0,0.7648036010931889
125,21.0,14.0,0.7743637527083309
126,21.0,18.0,0.7740763973719832
127,22.0,6.0,0.7571023039852122
128,22.0,8.0,0.7702484424275055
129,22.0,10.0,0.7129261227997581
130,22.0,16.0,0.7245253943453973
131,23.0,6.0,0.7571023039852122
132,23.0,8.0,0.7702484424275055
133,23.0,10.0,0.7129397784662396
134,23.0,12.0,0.7647771239938693
135,23.0,14.0,0.7743985270508459
136,23.0,18.0,0.7742041929735795
137,23.0,20.0,0.7578812145824483
138,24.0,6.0,0.7571023039852122
139,24.0,8.0,0.7702484424275055
140,24.0,10.0,0.7129397784662396
141,24.0,12.0,0.7647954043684223
142,24.0,16.0,0.7246327187904598
143,25.0,8.0,0.7702484424275055
144,25.0,10.0,0.7129397784662396
145,25.0,14.0,0.7744173514751449
146,25.0,18.0,0.7744114411441144
147,25.0,20.0,0.7579065095375184
148,26.0,8.0,0.7702484424275055
149,26.0,12.0,0.7647954043684223
150,26.0,16.0,0.7244748360032961
151,27.0,8.0,0.7702484424275055
152,27.0,10.0,0.7129397784662396
